Orthogroup	Duplications (all)	Duplications (50% support)
OG0000434	1	1
OG0000435	2	0
OG0000436	2	2
OG0000437	2	2
OG0000438	1	1
OG0000439	1	1
OG0000440	1	1
OG0000441	1	1
OG0000442	1	0
OG0000443	3	3
OG0000444	3	3
OG0000445	3	3
OG0000446	3	2
OG0000447	4	4
OG0000448	1	1
OG0000449	3	1
OG0000450	1	0
OG0000451	1	1
OG0000452	1	1
OG0000453	1	1
OG0000454	1	1
OG0000455	1	0
OG0000456	1	1
OG0000457	1	1
OG0000458	3	3
OG0000459	1	1
OG0000460	1	1
OG0000461	1	1
OG0000462	2	2
OG0000463	1	1
OG0000464	3	3
OG0000465	2	2
OG0000466	1	1
OG0000467	2	2
OG0000468	2	2
OG0000469	1	1
OG0000470	1	1
OG0000471	2	2
OG0000472	1	1
OG0000473	4	4
OG0000474	1	1
OG0000475	4	4
OG0000476	3	2
OG0000477	4	4
OG0000478	2	2
OG0000479	2	2
OG0000480	2	2
OG0000481	1	1
OG0000482	1	1
OG0000483	1	1
OG0000484	1	1
OG0000485	1	1
OG0000486	1	1
OG0000487	1	1
OG0000488	1	1
OG0000489	1	1
OG0000490	1	1
OG0000491	3	1
OG0000492	3	3
OG0000493	2	1
OG0000494	1	1
OG0000495	1	1
OG0000496	4	4
OG0000497	2	2
OG0000498	1	1
OG0000499	2	2
OG0000500	1	1
OG0000501	3	3
OG0000502	2	2
OG0000503	4	4
OG0000504	2	1
OG0000505	2	2
OG0000506	3	3
OG0000507	1	1
OG0000508	2	2
OG0000509	1	1
OG0000510	2	2
OG0000511	2	2
OG0000512	3	3
OG0000513	1	1
OG0000514	1	1
OG0000515	1	1
OG0000516	2	2
OG0000517	1	1
OG0000518	1	0
OG0000519	3	3
OG0000520	1	1
OG0000521	1	1
OG0000522	1	1
OG0000523	2	2
OG0000524	1	1
OG0000525	2	2
OG0000526	1	1
OG0000527	1	1
OG0000528	1	1
OG0000529	1	1
OG0000530	1	1
OG0000531	1	1
OG0000532	1	1
OG0000533	2	2
OG0000534	2	1
OG0000535	2	2
OG0000536	1	1
OG0000537	1	1
OG0000538	1	0
OG0000539	1	0
OG0000540	2	0
OG0000541	1	1
OG0000542	1	1
OG0000543	2	2
OG0000544	1	1
OG0000545	2	0
OG0000546	3	3
OG0000547	2	2
OG0000548	1	1
OG0000549	1	1
OG0000550	3	3
OG0000551	2	2
OG0000552	1	1
OG0000553	2	2
OG0000554	3	3
OG0000555	1	1
OG0000556	2	2
OG0000557	1	0
OG0000558	1	1
OG0000559	2	1
OG0000560	1	1
OG0000561	1	1
OG0000562	2	2
OG0000563	1	1
OG0000564	1	1
OG0000565	3	3
OG0000566	2	1
OG0000567	4	4
OG0000568	1	1
OG0000569	1	1
OG0000570	2	2
OG0000571	1	1
OG0000572	4	4
OG0000573	1	1
OG0000574	2	2
OG0000575	6	6
OG0000576	3	3
OG0000577	3	3
OG0000578	5	5
OG0000579	2	1
OG0000580	5	5
OG0000581	2	1
OG0000582	3	2
OG0000583	3	1
OG0000584	4	4
OG0000585	6	6
OG0000586	3	3
OG0000587	3	3
OG0000588	4	4
OG0000589	5	5
OG0000590	3	2
OG0000591	6	6
OG0000592	5	5
OG0000593	6	6
OG0000594	5	5
OG0000595	6	6
OG0000596	6	6
OG0000597	6	6
OG0000598	6	6
OG0000599	6	6
OG0000600	0	0
OG0000601	1	1
OG0000602	0	0
OG0000603	0	0
OG0000604	2	2
OG0000605	0	0
OG0000606	2	2
OG0000607	0	0
OG0000608	1	1
OG0000609	1	1
OG0000610	0	0
OG0000611	0	0
OG0000612	0	0
OG0000613	0	0
OG0000614	1	1
OG0000615	1	1
OG0000616	1	1
OG0000617	4	4
OG0000618	2	2
OG0000619	1	1
OG0000620	1	1
OG0000621	1	1
OG0000622	0	0
OG0000623	5	5
OG0000624	5	5
OG0000625	0	0
OG0000626	1	0
OG0000627	1	1
OG0000628	0	0
OG0000629	0	0
OG0000630	0	0
OG0000631	1	1
OG0000632	1	1
OG0000633	1	1
OG0000634	0	0
OG0000635	0	0
OG0000636	4	4
OG0000637	0	0
OG0000638	0	0
OG0000639	0	0
OG0000640	2	2
OG0000641	1	1
OG0000642	3	3
OG0000643	0	0
OG0000644	2	2
OG0000645	1	1
OG0000646	0	0
OG0000647	1	1
OG0000648	1	1
OG0000649	1	1
OG0000650	1	1
OG0000651	2	2
OG0000652	0	0
OG0000653	0	0
OG0000654	0	0
OG0000655	2	2
OG0000656	2	2
OG0000657	1	1
OG0000658	2	2
OG0000659	1	1
OG0000660	0	0
OG0000661	0	0
OG0000662	1	1
OG0000663	0	0
OG0000664	1	1
OG0000665	0	0
OG0000666	0	0
OG0000667	2	2
OG0000668	1	1
OG0000669	1	1
OG0000670	1	1
OG0000671	2	2
OG0000672	2	2
OG0000673	2	2
OG0000674	3	3
OG0000675	1	0
OG0000676	0	0
OG0000677	0	0
OG0000678	4	4
OG0000679	1	1
OG0000680	1	0
OG0000681	0	0
OG0000682	0	0
OG0000683	0	0
OG0000684	0	0
OG0000685	2	2
OG0000686	2	2
OG0000687	2	2
OG0000688	1	1
OG0000689	3	3
OG0000690	1	1
OG0000691	1	1
OG0000692	1	1
OG0000693	2	2
OG0000694	0	0
OG0000695	0	0
OG0000696	0	0
OG0000697	0	0
OG0000698	1	1
OG0000699	0	0
OG0000700	3	3
OG0000701	3	3
OG0000702	1	1
OG0000703	1	0
OG0000704	0	0
OG0000705	2	2
OG0000706	3	3
OG0000707	3	3
OG0000708	3	3
OG0000709	2	2
OG0000710	2	2
OG0000711	0	0
OG0000712	0	0
OG0000713	0	0
OG0000714	0	0
OG0000715	0	0
OG0000716	0	0
OG0000717	3	3
OG0000718	3	3
OG0000719	0	0
OG0000720	0	0
OG0000721	1	1
OG0000722	1	1
OG0000723	3	3
OG0000724	1	1
OG0000725	1	1
OG0000726	1	1
OG0000727	1	1
OG0000728	3	3
OG0000729	0	0
OG0000730	3	3
OG0000731	1	1
OG0000732	0	0
OG0000733	1	1
OG0000734	2	2
OG0000735	3	3
OG0000736	1	1
OG0000737	1	0
OG0000738	4	4
OG0000739	1	1
OG0000740	0	0
OG0000741	2	1
OG0000742	2	2
OG0000743	0	0
OG0000744	0	0
OG0000745	0	0
OG0000746	0	0
OG0000747	0	0
OG0000748	1	0
OG0000749	1	1
OG0000750	0	0
OG0000751	1	1
OG0000752	1	1
OG0000753	0	0
OG0000754	0	0
OG0000755	3	3
OG0000756	2	2
OG0000757	0	0
OG0000758	0	0
OG0000759	0	0
OG0000760	1	1
OG0000761	1	1
OG0000762	0	0
OG0000763	1	0
OG0000764	1	1
OG0000765	0	0
OG0000766	0	0
OG0000767	1	1
OG0000768	1	1
OG0000769	2	2
OG0000770	0	0
OG0000771	0	0
OG0000772	0	0
OG0000773	0	0
OG0000774	0	0
OG0000775	0	0
OG0000776	0	0
OG0000777	0	0
OG0000778	0	0
OG0000779	0	0
OG0000780	0	0
OG0000781	0	0
OG0000782	0	0
OG0000783	0	0
OG0000784	0	0
OG0000785	0	0
OG0000786	0	0
OG0000787	0	0
OG0000788	0	0
OG0000789	0	0
OG0000790	0	0
OG0000791	0	0
OG0000792	4	4
OG0000793	0	0
OG0000794	1	1
OG0000795	0	0
OG0000796	0	0
OG0000797	1	1
OG0000798	1	1
OG0000799	2	2
OG0000800	0	0
OG0000801	2	2
OG0000802	1	1
OG0000803	1	0
OG0000804	1	1
OG0000805	1	1
OG0000806	1	1
OG0000807	0	0
OG0000808	0	0
OG0000809	3	3
OG0000810	0	0
OG0000811	1	1
OG0000812	1	1
OG0000813	1	1
OG0000814	1	1
OG0000815	2	2
OG0000816	0	0
OG0000817	0	0
OG0000818	0	0
OG0000819	1	1
OG0000820	0	0
OG0000821	1	1
OG0000822	0	0
OG0000823	2	2
