,gene_id,database,kegg_id
433,XNR_RS02105,KEGG_ko,-
435,XNR_RS02115,KEGG_ko,-
436,XNR_RS02120,KEGG_ko,-
437,XNR_RS02125,KEGG_ko,-
438,XNR_RS02130,KEGG_ko,-
439,XNR_RS02135,KEGG_ko,-
440,XNR_RS02140,KEGG_ko,-
442,XNR_RS02150,KEGG_ko,-
446,XNR_RS02170,KEGG_ko,-
447,XNR_RS02175,KEGG_ko,-
449,XNR_RS02185,KEGG_ko,-
450,XNR_RS02190,KEGG_ko,-
451,XNR_RS02195,KEGG_ko,-
452,XNR_RS02200,KEGG_ko,-
453,XNR_RS02205,KEGG_ko,-
454,XNR_RS02210,KEGG_ko,-
460,XNR_RS02240,KEGG_ko,-
465,XNR_RS02260,KEGG_ko,-
466,XNR_RS02265,KEGG_ko,-
470,XNR_RS02285,KEGG_ko,-
471,XNR_RS02290,KEGG_ko,-
474,XNR_RS02305,KEGG_ko,-
475,XNR_RS02310,KEGG_ko,-
477,XNR_RS02320,KEGG_ko,-
483,XNR_RS02350,KEGG_ko,-
484,XNR_RS02355,KEGG_ko,-
485,XNR_RS02360,KEGG_ko,-
486,XNR_RS02370,KEGG_ko,-
487,XNR_RS02375,KEGG_ko,-
490,XNR_RS02390,KEGG_ko,-
491,XNR_RS02395,KEGG_ko,-
492,XNR_RS02400,KEGG_ko,-
495,XNR_RS02415,KEGG_ko,-
498,XNR_RS02435,KEGG_ko,-
499,XNR_RS02440,KEGG_ko,-
500,XNR_RS02445,KEGG_ko,-
501,XNR_RS02450,KEGG_ko,-
502,XNR_RS02455,KEGG_ko,-
507,XNR_RS02480,KEGG_ko,-
508,XNR_RS02485,KEGG_ko,-
510,XNR_RS02495,KEGG_ko,-
511,XNR_RS02500,KEGG_ko,-
512,XNR_RS02505,KEGG_ko,-
516,XNR_RS02520,KEGG_ko,-
518,XNR_RS02530,KEGG_ko,-
521,XNR_RS02545,KEGG_ko,-
522,XNR_RS02550,KEGG_ko,-
523,XNR_RS02555,KEGG_ko,-
525,XNR_RS02565,KEGG_ko,-
529,XNR_RS02585,KEGG_ko,-
531,XNR_RS02595,KEGG_ko,-
532,XNR_RS02600,KEGG_ko,-
533,XNR_RS02605,KEGG_ko,-
534,XNR_RS02610,KEGG_ko,-
535,XNR_RS02615,KEGG_ko,-
536,XNR_RS02620,KEGG_ko,-
537,XNR_RS02625,KEGG_ko,-
538,XNR_RS02630,KEGG_ko,-
539,XNR_RS02635,KEGG_ko,-
540,XNR_RS02640,KEGG_ko,-
542,XNR_RS02650,KEGG_ko,-
543,XNR_RS02655,KEGG_ko,-
544,XNR_RS30730,KEGG_ko,-
545,XNR_RS30665,KEGG_ko,-
546,XNR_RS02670,KEGG_ko,-
547,XNR_RS02675,KEGG_ko,-
548,XNR_RS02680,KEGG_ko,-
550,XNR_RS02690,KEGG_ko,-
551,XNR_RS02695,KEGG_ko,-
552,XNR_RS02700,KEGG_ko,-
553,XNR_RS02705,KEGG_ko,-
554,XNR_RS02710,KEGG_ko,-
555,XNR_RS02715,KEGG_ko,-
562,XNR_RS02750,KEGG_ko,-
563,XNR_RS02755,KEGG_ko,-
564,XNR_RS02760,KEGG_ko,-
565,XNR_RS02765,KEGG_ko,-
566,XNR_RS02770,KEGG_ko,-
570,XNR_RS02790,KEGG_ko,-
583,XNR_RS02835,KEGG_ko,-
584,XNR_RS30670,KEGG_ko,-
585,XNR_RS02840,KEGG_ko,-
590,XNR_RS02860,KEGG_ko,-
593,XNR_RS02870,KEGG_ko,-
594,XNR_RS02875,KEGG_ko,-
595,XNR_RS02880,KEGG_ko,-
598,XNR_RS02895,KEGG_ko,-
599,XNR_RS02900,KEGG_ko,-
600,XNR_RS02905,KEGG_ko,-
601,XNR_RS02910,KEGG_ko,-
602,XNR_RS02915,KEGG_ko,-
614,XNR_RS02970,KEGG_ko,-
620,XNR_RS02990,KEGG_ko,-
621,XNR_RS02995,KEGG_ko,-
622,XNR_RS03000,KEGG_ko,-
624,XNR_RS03010,KEGG_ko,-
