,species,Function
pae_Iron acquisition,Pae,Metal Homeostasis
pae_k-opioid,Pae,Secondary Metabolism
pae_LaoR,Pae,Carbon Metabolism
pae_LasR,Pae,Metal Homeostasis
pae_LexA,Pae,Stress Response
pae_LiuR,Pae,Amino Acid Metabolism
pae_Lrp,Pae,Amino Acid Metabolism
pae_MdcR,Pae,Misc Metabolism
pae_MexS-1,Pae,Antibiotic Resistance
pae_MexS-2,Pae,Antibiotic Resistance
pae_MexZ,Pae,Antibiotic Resistance
pae_MmsR,Pae,Amino Acid Metabolism
pae_MvfR,Pae,Misc Metabolism
pae_NagQ,Pae,Carbon Metabolism
pae_NarL,Pae,Amino Acid Metabolism
pae_NRPS,Pae,Secondary Metabolism
pae_PA1226,Pae,Structural Components
pae_PchR,Pae,Secondary Metabolism
pae_PhhR-1,Pae,Amino Acid Metabolism
pae_PhnR-2,Pae,Metal Homeostasis
pae_PmrA,Pae,Antibiotic Resistance
pae_PprB,Pae,Structural Components
pae_PrrF,Pae,Amino Acid Metabolism
pae_PtxS,Pae,Carbon Metabolism
pae_PvdS,Pae,Secondary Metabolism
pae_QscR-1,Pae,Quorum Sensing
pae_QscR-2,Pae,Secondary Metabolism
pae_Quorum sensing,Pae,Quorum Sensing
pae_RiPP,Pae,Secondary Metabolism
pae_RoxR,Pae,Energy Metabolism
pae_RpoH,Pae,Heat Shock Response
pae_RpoN,Pae,Carbon Metabolism
pae_RpoS-1,Pae,Stress Response
pae_RpoS-2,Pae,Stress Response
pae_RsmA,Pae,Carbon Metabolism
pae_Sfa2,Pae,Secretion System
pae_Sigma-70,Pae,Prophages
pae_Uncharacterized-1,Pae,Uncharacterized
pae_Uncharacterized-10,Pae,Uncharacterized
pae_Uncharacterized-11,Pae,Uncharacterized
pae_Uncharacterized-12,Pae,Uncharacterized
pae_Uncharacterized-2,Pae,Uncharacterized
pae_Uncharacterized-3,Pae,Uncharacterized
pae_Uncharacterized-4,Pae,Uncharacterized
pae_Uncharacterized-5,Pae,Uncharacterized
pae_Uncharacterized-6,Pae,Uncharacterized
pae_Uncharacterized-7,Pae,Uncharacterized
pae_Uncharacterized-8,Pae,Uncharacterized
pae_Uncharacterized-9,Pae,Uncharacterized
pae_SouR,Pae,Amino Acid Metabolism
pae_SoxR,Pae,Antibiotic Resistance
pae_TagR1,Pae,Secretion System
pae_Translation-1,Pae,Translation
pae_Translation-2,Pae,Translation
pae_Translation-3,Pae,Translation
pae_Uncharacterized-1,Pae,Uncharacterized
pae_Uncharacterized-10,Pae,Uncharacterized
pae_Uncharacterized-11,Pae,Uncharacterized
pae_Uncharacterized-12,Pae,Uncharacterized
pae_Uncharacterized-13,Pae,Uncharacterized
pae_Uncharacterized-14,Pae,Uncharacterized
pae_Uncharacterized-2,Pae,Uncharacterized
pae_Uncharacterized-3,Pae,Uncharacterized
pae_Uncharacterized-4,Pae,Uncharacterized
pae_Uncharacterized-5,Pae,Uncharacterized
pae_Uncharacterized-6,Pae,Uncharacterized
pae_Uncharacterized-7,Pae,Uncharacterized
pae_Uncharacterized-8,Pae,Translation
pae_Uncharacterized-9,Pae,Uncharacterized
pae_XisF4-1,Pae,Prophages
pae_XisF4-2,Pae,Prophages
pae_Zur-1,Pae,Metal Homeostasis
pae_Zur-2,Pae,Metal Homeostasis
sac_4-HPA,sac,Misc Metabolism
sac_Ammonium-Uptake,sac,Other Functional
sac_Arginine,sac,Amino Acid Metabolism
sac_ArnRAB,sac,Other Functional
sac_aromatic-degradation,sac,Misc Metabolism
sac_carbon-fixation,sac,Misc Metabolism
sac_carotenoid,sac,Other Functional
sac_Cobalamin,sac,Vitamin B
sac_cold-stress,sac,Stress Response
sac_DARC,sac,Uncharacterized
sac_FadR,sac,Misc Metabolism
sac_FadR-KO,sac,Genomic
sac_fatty-acid-related,sac,Misc Metabolism
sac_Fe-S-lipoylation,sac,Other Functional
sac_Gly-Ser-Thr,sac,Amino Acid Metabolism
sac_heat-stress,sac,Stress Response
sac_HMG-CoA,sac,Misc Metabolism
sac_LysM,sac,Amino Acid Metabolism
sac_niacin-transport,sac,Vitamin B
sac_Phenylacetate,sac,Misc Metabolism
sac_pseudogene,sac,Genomic
sac_Purine,sac,Amino Acid Metabolism
sac_Pyroglutamate,sac,Amino Acid Metabolism
sac_Quinolinate,sac,Other Functional
sac_Replication,sac,Other Functional
sac_Riboflavin,sac,Vitamin B
sac_single_gene_1,sac,Uncharacterized
sac_single_gene_2,sac,Uncharacterized
sac_single_gene_3,sac,Uncharacterized
sac_single_gene_4,sac,Uncharacterized
sac_single_gene_5,sac,Uncharacterized
sac_SoxL2N,sac,Other Functional
sac_SoxLABCD,sac,Other Functional
sac_sulfur-assimilation,sac,Amino Acid Metabolism
sac_TCA-BCAA,sac,Amino Acid Metabolism
sac_Thiamin,sac,Vitamin B
sac_translation-1,sac,Other Functional
sac_translation-2,sac,Other Functional
sac_translation-related,sac,Other Functional
sac_unchar-1,sac,Uncharacterized
sac_unchar-3,sac,Uncharacterized
sac_UV-related,sac,Stress Response
sac_UV-tfb3,sac,Stress Response
sac_XylR-SoxM,sac,Misc Metabolism
sac_YtrA,sac,Other Functional
salb_Ammonium,Sal,Nitrogen Metabolism
salb_Antimycin,Sal,Secondary Metabolism
salb_Arsenate,Sal,Metal Homeostasis
salb_BGC-General,Sal,Secondary Metabolism
salb_Candicidin/Antimycin,Sal,Secondary Metabolism
salb_Cellobiose,Sal,Carbon Metabolism
salb_Chaplin,Sal,Development
salb_Cyclofaulknamycin-1,Sal,Secondary Metabolism
salb_Cyclofaulknamycin-2,Sal,Secondary Metabolism
salb_CysB,Sal,Amino Acid Metabolism
salb_Cytochrome,Sal,Energy Metabolism
salb_DNA Damage,Sal,DNA Damage
salb_Dudomycin/Minimycin,Sal,Secondary Metabolism
salb_Fatty Acid,Sal,Fatty Acid Metabolism
salb_Fructose,Sal,Carbon Metabolism
salb_Galactose,Sal,Carbon Metabolism
salb_Gas Vesicle,Sal,Membrane Transport
salb_Glucose,Sal,Carbon Metabolism
salb_Glycerol,Sal,Carbon Metabolism
salb_Histidine,Sal,Amino Acid Metabolism
salb_hrt Complex,Sal,Membrane Transport
salb_Iron Acquisition,Sal,Metal Homeostasis
salb_Leucine,Sal,Amino Acid Metabolism
salb_Mce3R,Sal,Membrane Transport
salb_NDH,Sal,Energy Metabolism
salb_NRPS-1,Sal,Secondary Metabolism
salb_Nucleoside,Sal,Carbon Metabolism
salb_Paulomycin,Sal,Secondary Metabolism
salb_Phenylacetate,Sal,Carbon Metabolism
salb_Phosphate,Sal,Phosphate Metabolism
salb_Phospholipid,Sal,Fatty Acid Metabolism
salb_Potassium,Sal,Metal Homeostasis
salb_Prophages,Sal,Prophages
salb_RpoS,Sal,Stress Response
salb_SAL-2242,Sal,Secondary Metabolism
salb_SGR PTM,Sal,Secondary Metabolism
salb_SigK,Sal,Cell wall/membrane/envelope biogenesis
salb_Stress Response,Sal,Stress Response
salb_Sucrose,Sal,Carbon Metabolism
salb_Sugar-1,Sal,Carbon Metabolism
salb_Sugar-2,Sal,Carbon Metabolism
salb_Sulfur Metabolism,Sal,Amino Acid Metabolism
salb_Surugamide-1,Sal,Secondary Metabolism
salb_Surugamide-2,Sal,Secondary Metabolism
salb_Thiopeptide,Sal,Secondary Metabolism
salb_Transketolase,Sal,Amino Acid Metabolism
salb_Translation,Sal,Translation
salb_UC-1,Sal,Uncharacterized
salb_UC-10,Sal,Uncharacterized
salb_UC-11,Sal,Uncharacterized
salb_UC-12,Sal,Uncharacterized
salb_UC-13,Sal,Uncharacterized
salb_UC-14,Sal,Uncharacterized
salb_UC-2,Sal,Uncharacterized
salb_UC-3,Sal,Uncharacterized
salb_UC-4,Sal,Uncharacterized
salb_UC-5,Sal,Uncharacterized
salb_UC-6,Sal,Uncharacterized
salb_UC-7,Sal,Uncharacterized
salb_UC-8,Sal,Uncharacterized
salb_UC-9,Sal,Uncharacterized
salb_Valine,Sal,Amino Acid Metabolism
salb_Xylose,Sal,Carbon Metabolism
sen_ADI,Sen,Amino Acid Metabolism
sen_appY,Sen,Energy Metabolism
sen_arcA-1,Sen,Amino Acid Metabolism
sen_arcA-2,Sen,Amino Acid Metabolism
sen_arcA-3,Sen,Amino Acid Metabolism
sen_argR-1,Sen,Amino Acid Metabolism
sen_argR-2,Sen,Amino Acid Metabolism
sen_birA,Sen,Misc Metabolism
sen_cadC,Sen,Amino Acid Metabolism
sen_CAMP resistance,Sen,Resistance
sen_cdaR,Sen,Carbon Metabolism
sen_cob,Sen,Vitamin B
sen_cra,Sen,Carbon Metabolism
sen_crp-1,Sen,Carbon Metabolism
sen_crp-2,Sen,Carbon Metabolism
sen_csgD,Sen,Uncharacterized
sen_csp-1,Sen,Stress Response
sen_csp-2,Sen,Stress Response
sen_csrA,Sen,Uncharacterized
sen_cydABTE,Sen,Energy Metabolism
sen_cysB,Sen,Membrane Transport
sen_cytR,Sen,Nucleotide Metabolism
sen_dpiA,Sen,Carbon Metabolism
sen_dsdC,Sen,Amino Acid Metabolism
sen_fhlA,Sen,Energy Metabolism
sen_fim cluster,Sen,Extracellular Structures
sen_flhD;flhC,Sen,Extracellular Structures
sen_fliA,Sen,Extracellular Structures
sen_fnr-1,Sen,Translation
sen_fnr-2,Sen,Translation
sen_fra,Sen,Carbon Metabolism
sen_fur-1,Sen,Metal Homeostasis
sen_fur-2,Sen,Metal Homeostasis
sen_fur-3,Sen,Metal Homeostasis
sen_glpR,Sen,Carbon Metabolism
sen_glycosyltransferase,Sen,Carbon Metabolism
sen_gutM,Sen,Carbon Metabolism
sen_hfq-related,Sen,Membrane Transport
sen_hilD-related,Sen,Uncharacterized
sen_his-tRNA,Sen,Amino Acid Metabolism
sen_hyd5,Sen,Energy Metabolism
sen_kdpE,Sen,Metal Homeostasis
sen_leu-tRNA,Sen,Amino Acid Metabolism
sen_lexA,Sen,DNA Damage
sen_lldR,Sen,Uncharacterized
sen_lrp,Sen,Amino Acid Metabolism
sen_lsrR,Sen,Carbon Metabolism
sen_Macrophage,Sen,Uncharacterized
sen_malT,Sen,Carbon Metabolism
sen_marR,Sen,Uncharacterized
sen_metJ,Sen,Amino Acid Metabolism
sen_molybdate,Sen,Membrane Transport
sen_mraZ,Sen,Cell wall/membrane/envelope biogenesis
sen_nanR,Sen,Cell wall/membrane/envelope biogenesis
sen_narL,Sen,Energy Metabolism
sen_narP,Sen,Energy Metabolism
sen_NikR,Sen,Amino Acid Metabolism
sen_nsrR,Sen,Energy Metabolism
sen_O-antigen,Sen,Cell wall/membrane/envelope biogenesis
sen_pdu,Sen,Amino Acid Metabolism
sen_phoB,Sen,Phosphate Metabolism
sen_pmrAB,Sen,Fatty Acid Metabolism
sen_ppdABC,Sen,Extracellular Structures
sen_ppGpp,Sen,Uncharacterized
sen_proU,Sen,Amino Acid Metabolism
sen_prpR,Sen,Carbon Metabolism
sen_psp,Sen,Prophages
sen_PTS,Sen,Carbon Metabolism
sen_purR-1,Sen,Nucleotide Metabolism
sen_purR-2,Sen,Nucleotide Metabolism
sen_rbsR,Sen,Carbon Metabolism
sen_rcsA;rcsB,Sen,Carbon Metabolism
sen_rcsc related,Sen,Carbon Metabolism
sen_ribosome,Sen,Translation
sen_rpoE,Sen,Translation
sen_rpoH,Sen,Heat Shock Response
sen_rpoN,Sen,Amino Acid Metabolism
sen_rpoN-associated,Sen,Amino Acid Metabolism
sen_rpoS,Sen,Global Stress
sen_rstA,Sen,Energy Metabolism
sen_rtcR,Sen,Genomic
sen_SG1_STM4302,Sen,Uncharacterized
sen_SG2_STM2329,Sen,Uncharacterized
sen_SG3_cpxR,Sen,Uncharacterized
sen_SG4_hilC,Sen,Uncharacterized
sen_SG5_sprB,Sen,Uncharacterized
sen_SPI1 T3SS,Sen,Uncharacterized
sen_SPI1-1,Sen,Uncharacterized
sen_SPI1-2,Sen,Uncharacterized
sen_SPI16,Sen,Uncharacterized
sen_SPI2,Sen,Uncharacterized
sen_SPI9,Sen,Uncharacterized
sen_tartrate utilization,Sen,Carbon Metabolism
sen_tdcA,Sen,Amino Acid Metabolism
sen_torR,Sen,Energy Metabolism
sen_TPP,Sen,Membrane Transport
sen_tricarboxylic transport,Sen,Uncharacterized
sen_ula-Ascorbate,Sen,Carbon Metabolism
sen_unchar-1,Sen,Uncharacterized
sen_unchar-10,Sen,Uncharacterized
