__mclCluster,name,Function,AverageShortestPathLength,BetweennessCentrality,ClosenessCentrality,ClusteringCoefficient,Degree,Eccentricity,IsSingleNode,NeighborhoodConnectivity,NumberOfDirectedEdges,NumberOfUndirectedEdges,PartnerOfMultiEdgedNodePairs,Radiality,selected,SelfLoops,shared name,species,Stress,TopologicalCoefficient
104,sen_unchar-12,Carbon Metabolism,3.625912409,0.001383218,0.275792652,0,2,7,FALSE,38,0,2,0,0.964514697,FALSE,0,sen_unchar-12,Sen,1226,0.5
105,salb_hrt Complex,Carbon Metabolism,3.620437956,0,0.276209677,1,2,7,FALSE,40.5,0,2,0,0.964588676,FALSE,0,salb_hrt Complex,Sal,0,0.525974026
105,pae_ErbR-2,Carbon Metabolism,3.423357664,0.008255034,0.292110874,0.19047619,7,6,FALSE,20.14285714,0,7,0,0.967251923,FALSE,0,pae_ErbR-2,Pae,10684,0.174185464
106,pae_Uncharacterized-14,Carbon Metabolism,5.020072993,5.28E-04,0.199200291,0.333333333,3,9,FALSE,6,0,3,0,0.945674689,FALSE,0,pae_Uncharacterized-14,Pae,552,0.515151515
106,sen_unchar-11,Carbon Metabolism,4.408759124,0.002299488,0.226821192,0,2,8,FALSE,10.5,0,2,0,0.953935688,FALSE,0,sen_unchar-11,Sen,4198,0.5
107,ecol_GlcNAc,Carbon Metabolism,4.534671533,0,0.220523139,0,1,7,FALSE,10,0,1,0,0.952234168,FALSE,0,ecol_GlcNAc,Eco,0,0
107,pae_NagQ,Carbon Metabolism,3.53649635,0.014399378,0.282765738,0.311111111,10,6,FALSE,14.9,0,10,0,0.965723022,FALSE,0,pae_NagQ,Pae,20612,0.182716049
108,pae_Sigma-70,Carbon Metabolism,5.461678832,0,0.183093886,0,1,9,FALSE,2,0,1,0,0.939707043,FALSE,0,pae_Sigma-70,Pae,0,0
108,salb_Prophages,Carbon Metabolism,4.46350365,0.003649635,0.224039248,0,2,8,FALSE,9.5,0,2,0,0.953195897,FALSE,0,salb_Prophages,Sal,7136,0.5
109,mtub_Rv0681,Carbon Metabolism,3.131386861,0.017265632,0.319347319,0.216666667,16,6,FALSE,19.5,0,16,0,0.971197475,FALSE,0,mtub_Rv0681,Mtu,38544,0.120729814
109,ecol_BW25113,Carbon Metabolism,3.667883212,0.002184608,0.272636816,0.333333333,3,6,FALSE,19.33333333,0,3,0,0.963947524,FALSE,0,ecol_BW25113,Eco,3434,0.38
110,sen_rtcR,Carbon Metabolism,5.306569343,7.58E-04,0.188445667,0,2,9,FALSE,4.5,0,2,0,0.941803117,FALSE,0,sen_rtcR,Sen,948,0.5
110,salb_UC-7,Carbon Metabolism,5.401459854,7.29E-04,0.185135135,0,2,9,FALSE,3.5,0,2,0,0.940520813,FALSE,0,salb_UC-7,Sal,1338,0.5
111,sen_molybdate,Carbon Metabolism,3.952554745,0.00103313,0.253000923,0.333333333,3,7,FALSE,11.33333333,0,3,0,0.960100612,FALSE,0,sen_molybdate,Sen,1624,0.35483871
111,ecol_Molybdenum,Carbon Metabolism,4.083941606,0,0.244861483,1,2,7,FALSE,11,0,2,0,0.958325113,FALSE,0,ecol_Molybdenum,Eco,0,0.55
112,sen_crp-2,Carbon Metabolism,4.031021898,0,0.248076053,1,2,7,FALSE,13,0,2,0,0.959040245,FALSE,0,sen_crp-2,Sen,0,0.565217391
112,ecol_Crp-1,Carbon Metabolism,3.461678832,9.40E-04,0.288877174,0.5,4,6,FALSE,28.25,0,4,0,0.96673407,FALSE,0,ecol_Crp-1,Eco,1998,0.297368421
113,ecol_ROS TALE Del-1,Carbon Metabolism,6.436131387,0,0.155372838,0,1,10,FALSE,2,0,1,0,0.926538765,FALSE,0,ecol_ROS TALE Del-1,Eco,0,0
113,pae_Uncharacterized-9,Carbon Metabolism,5.437956204,0.003649635,0.183892617,0,2,9,FALSE,4,0,2,0,0.940027619,FALSE,0,pae_Uncharacterized-9,Pae,5088,0.5
114,sen_torR,Carbon Metabolism,6.315693431,0,0.158335741,0,1,10,FALSE,3,0,1,0,0.928166305,FALSE,0,sen_torR,Sen,0,0
114,salb_Histidine,Carbon Metabolism,5.317518248,0.004577741,0.188057653,0,3,9,FALSE,3,0,3,0,0.941655159,FALSE,0,salb_Histidine,Sal,6406,0.333333333
115,sen_ADI,Carbon Metabolism,5.142335766,0,0.194464159,1,3,9,FALSE,6,0,3,0,0.94402249,FALSE,0,sen_ADI,Sen,0,0.75
115,pae_Anr-1,Carbon Metabolism,5.140510949,2.22E-06,0.194533191,0.833333333,4,9,FALSE,5.5,0,4,0,0.944047149,FALSE,0,pae_Anr-1,Pae,2,0.6875
116,sen_arcA-1,Carbon Metabolism,3.824817518,0.006652096,0.261450382,0.1,5,7,FALSE,11.2,0,5,0,0.96182679,FALSE,0,sen_arcA-1,Sen,9142,0.225531915
116,ecol_ArcA,Carbon Metabolism,4.583941606,0.00140708,0.218152866,0,3,8,FALSE,6.333333333,0,3,0,0.951568357,FALSE,0,ecol_ArcA,Eco,1476,0.333333333
117,mtub_SG_2,Carbon Metabolism,3.49270073,0.007442374,0.28631139,0,4,6,FALSE,27.25,0,4,0,0.966314855,FALSE,0,mtub_SG_2,Mtu,13526,0.282258065
117,salb_Paulomycin,Carbon Metabolism,3.817518248,0.012668537,0.261950287,0.138888889,9,7,FALSE,8.888888889,0,9,0,0.961925429,FALSE,0,salb_Paulomycin,Sal,24480,0.196382429
118,mtub_Mce3R,Carbon Metabolism,3.476277372,0.006003698,0.287664042,0.2,5,7,FALSE,21.4,0,5,0,0.966536792,FALSE,0,mtub_Mce3R,Mtu,9968,0.22826087
118,salb_Mce3R,Carbon Metabolism,3.304744526,0.014000079,0.302595251,0.138888889,9,6,FALSE,20.88888889,0,9,0,0.968854804,FALSE,0,salb_Mce3R,Sal,29338,0.159722222
119,sen_rpoE,Carbon Metabolism,5.335766423,0,0.187414501,0,1,9,FALSE,3,0,1,0,0.941408562,FALSE,0,sen_rpoE,Sen,0,0
119,ecol_RpoE,Carbon Metabolism,4.337591241,0.005198955,0.230542701,0,3,8,FALSE,7,0,3,0,0.954897416,FALSE,0,ecol_RpoE,Eco,5246,0.333333333
120,sen_glycosyltransferase,Carbon Metabolism,4.474452555,1.25E-04,0.223491028,0,2,8,FALSE,8.5,0,2,0,0.953047938,FALSE,0,sen_glycosyltransferase,Sen,254,0.535714286
120,salb_Cyclofaulknamycin-2,Carbon Metabolism,3.870437956,0.001966659,0.258368694,0,4,7,FALSE,9.5,0,4,0,0.961210298,FALSE,0,salb_Cyclofaulknamycin-2,Sal,2356,0.257575758
121,sen_unchar-7,Carbon Metabolism,5.169708029,0,0.193434522,0,1,8,FALSE,4,0,1,0,0.943652594,FALSE,0,sen_unchar-7,Sen,0,0
121,sac_single_gene_5,Carbon Metabolism,4.171532847,0.007865062,0.239720035,0,4,7,FALSE,6,0,4,0,0.957141448,FALSE,0,sac_single_gene_5,sac,7122,0.25
122,mtub_SG_1,Carbon Metabolism,3.532846715,0.004213358,0.283057851,0,3,7,FALSE,33,0,3,0,0.965772342,FALSE,0,mtub_SG_1,Mtu,6776,0.367816092
122,sen_unchar-5,Carbon Metabolism,4.531021898,0,0.220700765,0,1,8,FALSE,3,0,1,0,0.952283488,FALSE,0,sen_unchar-5,Sen,0,0
123,ecol_Membrane,Carbon Metabolism,4.315693431,0,0.231712474,0,1,7,FALSE,7,0,1,0,0.955193332,FALSE,0,ecol_Membrane,Eco,0,0
123,mtub_MbcA+Rv3249c+Rv3066,Carbon Metabolism,3.317518248,0.022547694,0.301430143,0,7,6,FALSE,21.14285714,0,7,0,0.968682186,FALSE,0,mtub_MbcA+Rv3249c+Rv3066,Mtu,35078,0.167857143
124,sen_rcsA;rcsB,Carbon Metabolism,6.071167883,0.004358077,0.164712955,0,3,9,FALSE,2.333333333,0,3,0,0.931470704,FALSE,0,sen_rcsA;rcsB,Sen,6978,0.333333333
124,ecol_Capsule,Carbon Metabolism,7.069343066,0,0.14145586,0,1,10,FALSE,3,0,1,0,0.91798185,FALSE,0,ecol_Capsule,Eco,0,0
125,ecol_Fimbriae,Carbon Metabolism,1,0,1,0,1,1,FALSE,1,0,1,0,1,FALSE,0,ecol_Fimbriae,Eco,0,0
125,sen_fim cluster,Carbon Metabolism,1,0,1,0,1,1,FALSE,1,0,1,0,1,FALSE,0,sen_fim cluster,Sen,0,0
126,sen_rcsc related,Carbon Metabolism,5.193430657,0,0.192550949,1,2,8,FALSE,5,0,2,0,0.943332018,FALSE,0,sen_rcsc related,Sen,0,0.625
126,ecol_UC-4,Carbon Metabolism,5.175182482,0.007081108,0.193229901,0.166666667,4,8,FALSE,3.5,0,4,0,0.943578615,FALSE,0,ecol_UC-4,Eco,11304,0.375
127,sen_his-tRNA,Carbon Metabolism,4.762773723,0,0.209961686,1,2,8,FALSE,8.5,0,2,0,0.949151706,FALSE,0,sen_his-tRNA,Sen,0,0.566666667
127,ecol_Histidine,Carbon Metabolism,4.708029197,0.001295331,0.212403101,0.333333333,3,8,FALSE,6.666666667,0,3,0,0.949891497,FALSE,0,ecol_Histidine,Eco,1918,0.37254902
128,mtub_SigD,Carbon Metabolism,5.131386861,0,0.19487909,0,1,9,FALSE,4,0,1,0,0.944170448,FALSE,0,mtub_SigD,Mtu,0,0
128,mtub_PDIM;PGL Synthesis,Carbon Metabolism,4.133211679,0.005947865,0.241942605,0,4,8,FALSE,9.75,0,4,0,0.957659302,FALSE,0,mtub_PDIM;PGL Synthesis,Mtu,12168,0.257352941
129,mtub_Rv2621c,Carbon Metabolism,4.260948905,0.003495382,0.234689507,0.3,5,8,FALSE,9,0,5,0,0.955933123,FALSE,0,mtub_Rv2621c,Mtu,4984,0.252941176
129,ecol_Suf System,Carbon Metabolism,4.558394161,0,0.2193755,1,3,8,FALSE,9.666666667,0,3,0,0.951913592,FALSE,0,ecol_Suf System,Eco,0,0.46031746
,sen_arcA-2,Carbon Metabolism,3.375912409,0.010333569,0.296216216,0.230769231,14,7,FALSE,11.35714286,0,14,0,0.967893076,FALSE,0,sen_arcA-2,Sen,17760,0.130541872
,mtub_Polyketide Synthase Complex,Carbon Metabolism,3.268248175,0.009124002,0.305974316,0.088888889,10,6,FALSE,22,0,10,0,0.969347998,FALSE,0,mtub_Polyketide Synthase Complex,Mtu,22922,0.155797101
,mtub_DevR-1,Carbon Metabolism,3.813868613,0.01032015,0.262200957,0.107142857,8,7,FALSE,8,0,8,0,0.961974748,FALSE,0,mtub_DevR-1,Mtu,13934,0.153061224
,mtub_MarR,Carbon Metabolism,3.693430657,0.004218149,0.270750988,0,5,7,FALSE,11.2,0,5,0,0.963602288,FALSE,0,mtub_MarR,Mtu,5236,0.2125
,mtub_Unc_2,Carbon Metabolism,4.131386861,0.009577229,0.24204947,0,5,7,FALSE,4.6,0,5,0,0.957683961,FALSE,0,mtub_Unc_2,Mtu,10740,0.2
,salb_Phenylacetate,Carbon Metabolism,3.087591241,0.056458093,0.323877069,0.155844156,22,6,FALSE,14.54545455,0,22,0,0.971789308,FALSE,0,salb_Phenylacetate,Sal,83212,0.086801752
,sac_heat-stress,Carbon Metabolism,3.979927007,0.011841822,0.25126089,0,7,7,FALSE,5.714285714,0,7,0,0.959730716,FALSE,0,sac_heat-stress,sac,15072,0.147321429
,pae_ArgR-1,Carbon Metabolism,3.76459854,0.012515672,0.265632574,0.166666667,9,7,FALSE,9.555555556,0,9,0,0.96264056,FALSE,0,pae_ArgR-1,Pae,16560,0.162698413
,sac_XylR-SoxM,Carbon Metabolism,3.032846715,0.074966942,0.329723225,0.090909091,34,6,FALSE,11.5,0,34,0,0.972529098,FALSE,0,sac_XylR-SoxM,sac,131712,0.062378798
