	Sample Pair	Pearson R
35	('301-MSG5', '303-MSG5')	0.8870497317375752
36	('301-MSG5', '596-MSG5NaCl')	0.7427972014528198
37	('301-MSG5', '598-MSG5NaCl')	0.7609499051363237
38	('303-MSG5', '596-MSG5NaCl')	0.6298218975983884
39	('303-MSG5', '598-MSG5NaCl')	0.6631596067337119
40	('596-MSG5NaCl', '598-MSG5NaCl')	0.9906964295502748
41	('325-MSG7', '326-MSG7')	0.9447238205513734
42	('579-ISP220C', '580-ISP220C')	0.9961482421192023
43	('298-MSG20C', '299-MSG20C')	0.9941656583481846
44	('353-24hISP2', '354-24hISP2')	0.9498259807557609
45	('358-24hMSG', '359-24hMSG')	0.9688722909439349
46	('358-24hMSG', '360-24hMSG')	0.9782796717254924
47	('359-24hMSG', '360-24hMSG')	0.9784400676758135
48	('365-48hISP2', '366-48hISP2')	0.9143367323755118
49	('370-48hMSG', '371-48hMSG')	0.8200132618561552
50	('370-48hMSG', '372-48hMSG')	0.9392386656667921
51	('371-48hMSG', '372-48hMSG')	0.834589871885811
52	('382-72hMSG', '383-72hMSG')	0.9019598878956495
53	('382-72hMSG', '384-72hMSG')	0.9837680425276871
54	('383-72hMSG', '384-72hMSG')	0.850283190136435
55	('SRR25592626', 'SRR25592627')	0.9988157513357125
56	('SRR25592626', 'SRR25592628')	0.9961764529393656
57	('SRR25592627', 'SRR25592628')	0.9963441995832854
58	('SRR25592623', 'SRR25592624')	0.9990042088490052
59	('SRR25592623', 'SRR25592625')	0.9980673637800322
60	('SRR25592624', 'SRR25592625')	0.9987681350647443
61	('SRR25592596', 'SRR25592597')	0.990771599696587
62	('SRR25592596', 'SRR25592598')	0.9905331781804041
63	('SRR25592597', 'SRR25592598')	0.9917598584335086
64	('SRR25592593', 'SRR25592594')	0.9563201058107194
65	('SRR25592593', 'SRR25592595')	0.9465824373662328
66	('SRR25592594', 'SRR25592595')	0.9789299640864345
67	('SRR25592590', 'SRR25592591')	0.9861390936442503
68	('SRR25592590', 'SRR25592592')	0.9852106171131513
69	('SRR25592591', 'SRR25592592')	0.9989765982010986
70	('SRR25592605', 'SRR25592606')	0.9989999755754847
71	('SRR25592605', 'SRR25592607')	0.9980927472766464
72	('SRR25592606', 'SRR25592607')	0.9992239608783455
73	('SRR25592602', 'SRR25592603')	0.9900392861265322
74	('SRR25592602', 'SRR25592604')	0.9948852734607083
75	('SRR25592603', 'SRR25592604')	0.995579314041002
76	('SRR25592599', 'SRR25592600')	0.9991383556614531
77	('SRR25592599', 'SRR25592601')	0.9986856905997464
78	('SRR25592600', 'SRR25592601')	0.9989533905888628
79	('SRR25592614', 'SRR25592615')	0.999180070983243
80	('SRR25592614', 'SRR25592616')	0.994077203967124
81	('SRR25592615', 'SRR25592616')	0.9962162391862579
82	('SRR25592611', 'SRR25592612')	0.9941784345466277
83	('SRR25592611', 'SRR25592613')	0.9954899125584177
84	('SRR25592612', 'SRR25592613')	0.9861595702939091
85	('SRR25592608', 'SRR25592609')	0.9938630904039519
86	('SRR25592608', 'SRR25592610')	0.9949793020369161
87	('SRR25592609', 'SRR25592610')	0.9988297175343611
88	('SRR25592620', 'SRR25592621')	0.9971385643499662
89	('SRR25592620', 'SRR25592622')	0.9982323304364308
90	('SRR25592621', 'SRR25592622')	0.9971833564628566
91	('SRR25592617', 'SRR25592618')	0.9972091024844129
92	('SRR25592617', 'SRR25592619')	0.9905122360463343
93	('SRR25592618', 'SRR25592619')	0.9883200990558282
94	('SRX10298365', 'SRX10298366')	0.9816676744352522
95	('SRX10298365', 'SRX10298367')	0.8849600432249627
96	('SRX10298366', 'SRX10298367')	0.8639881443022475
97	('SRX10298353', 'SRX10298354')	0.9910933153012812
98	('SRX10298353', 'SRX10298355')	0.9760698460083579
99	('SRX10298354', 'SRX10298355')	0.9886184072916393
100	('SRX10298359', 'SRX10298360')	0.9814733157053346
101	('SRX10298359', 'SRX10298361')	0.9653687680618496
102	('SRX10298360', 'SRX10298361')	0.967990669488408
103	('SRX10298356', 'SRX10298357')	0.9801235497215023
104	('SRX10298356', 'SRX10298358')	0.8873645851759999
105	('SRX10298357', 'SRX10298358')	0.9502445394670916
106	('SRX10298368', 'SRX10298369')	0.9886927454036261
107	('SRX10298368', 'SRX10298370')	0.9706723830964363
108	('SRX10298369', 'SRX10298370')	0.984720007824661
109	('SRX10298362', 'SRX10298363')	0.9926237472581113
110	('SRX10298362', 'SRX10298364')	0.9856330106876116
111	('SRX10298363', 'SRX10298364')	0.983025275379498
