,pseudogene,heat-stress,SoxL2N,fatty-acid-related,Riboflavin,niacin-transport,cold-stress,carbon-fixation,Fe-S-lipoylation,HMG-CoA,Purine,XylR-SoxM,YtrA,LysM,Phenylacetate,single_gene_1,single_gene_2,translation-1,UV-tfb3,Arginine,Pyroglutamate,translation-2,unchar-1,sulfur-assimilation,FadR-KO,Cobalamin,4-HPA,ArnRAB,single_gene_3,FadR,SoxLABCD,TCA-BCAA,UV-related,DARC,Replication,translation-related,Quinolinate,aromatic-degradation,Ammonium-Uptake,carotenoid,single_gene_4,Thiamin,unchar-3,single_gene_5,Gly-Ser-Thr
SACI_RS03810,0.007704479,0.000747416,0.008683682,-0.001237656,-0.001419697,0.008669355,-0.00045863,-0.002670524,0.001038682,-0.009992094,-0.009842196,-0.017750082,-0.008264681,-0.010958053,0.010577834,0.034917742,-0.020474719,-0.012720483,-0.007424053,-0.004705723,0.000333697,0.007364249,-0.005458847,0.002107159,0.009286344,-0.006125809,0.009584195,0.001248171,-0.014074566,-0.002373565,-0.004300013,0.004355808,0.0084558,-0.00214793,-0.011559908,0.036376316,-0.006258449,0.000612773,0.008943229,0.007375484,-0.008968852,-0.002148163,-0.008402813,0.00384819,-0.001216804
SACI_RS03815,-0.001536924,-0.007391926,0.007898771,0.00871553,0.016526622,0.000888958,-0.030984521,-0.015003723,-0.017288121,-0.004346177,-0.008631563,-0.004495965,0.015937451,0.023771874,-0.000576726,0.015808135,-0.004585918,-0.01950854,-0.000727972,0.00698954,0.001161077,0.038528459,-0.008307991,-0.015379662,-0.002238126,0.00187313,0.003885288,0.010599977,0.014080237,-0.001368349,-0.019434507,-0.010647211,0.017483457,-0.001089728,0.002407468,-0.006790157,-0.013597514,-0.00178045,0.001509968,-0.003854434,0.010746847,-0.006760347,-0.014816713,0.002409837,0.007121945
SACI_RS03820,0.007050152,0.010677275,-0.007872673,-0.00902748,-0.004002688,-0.008991958,-0.00064722,0.000400839,0.000786897,-0.017644619,-0.000919227,-0.008031497,-0.010082518,0.016003461,0.001096065,-0.004441437,-0.001616035,-0.011463838,-0.006192804,-0.010496476,0.002348428,0.041574285,0.004974829,-0.002550062,-0.000926892,-0.00481039,-0.004300903,-0.011425908,-0.001871298,-0.003237448,-0.019004114,-0.001053862,0.00323426,-0.002999603,0.00694995,0.006243013,0.00590712,0.000729178,0.003113647,-0.005769184,-0.006674033,-0.005751923,-0.006344446,-0.012491381,0.006616135
SACI_RS03825,0.02034541,0.008705876,0.000670541,-0.007846395,0.005658064,-0.007885068,0.001837622,0.008089004,-0.001521473,-0.010833361,-0.016800255,-0.015025485,-0.011330774,0.012363694,0.001820879,-0.005337367,-0.000467605,0.002217079,-0.004776301,-0.000573188,0.003403907,0.018629126,0.012458623,1.34E-05,-0.016438309,-0.010409126,0.006900885,-0.018060251,0.009000475,0.00123287,-0.016482241,-0.002573101,0.004944863,0.003438966,0.006670943,-0.004944833,-0.000774984,0.003194855,-0.006314728,0.000504952,-0.01192462,0.002419161,0.009990603,-0.01514056,0.013981216
SACI_RS03830,0.002512624,0.014794643,-0.004636976,-0.021394879,0.000624062,-0.028192134,-0.012197321,-0.006579385,0.006489863,-0.001525246,0.003503843,-0.021856917,-0.026161571,0.026033056,0.012030044,0.004969374,0.005918745,-0.012153394,-0.005528977,-0.007865745,0.000362678,-0.006654259,0.02472627,-0.004760386,-0.008935503,-0.013764616,0.001301056,-0.000444198,-0.012705777,0.007136381,0.007387591,-0.001197164,-0.001733654,0.002994723,0.088568048,-0.009896831,-0.028373318,0.002495936,0.004306712,0.006485079,-0.009024168,-0.012501371,0.02028219,-0.008831211,0.021719048
SACI_RS03835,0.003984219,-0.00267847,0.002309204,-0.004282268,-0.001911583,-0.01241863,0.004733215,-0.007785895,0.010934221,0.009210693,-0.012701312,-0.017649138,-0.018247662,0.014420028,-0.006150493,-0.023613468,0.006838809,-0.027567142,-0.00114126,0.005624499,0.003172038,0.023471183,-0.010520907,0.006149583,0.001677587,-0.015947068,-0.009987422,0.002145932,0.002719259,0.006972056,-0.04219633,0.008816575,0.018685118,0.005616402,0.001944758,0.007185001,-0.006278696,-0.013141694,0.004226258,-0.005259174,0.005400638,0.000617274,-0.029575623,-0.000644681,0.007229327
SACI_RS03840,0.00777923,0.004315406,-0.018427002,-0.005208381,-0.006179074,-0.007508684,0.009321277,-0.011095984,0.00885137,-0.011841937,-0.010680222,-0.024564037,-0.016345231,-0.000288983,-0.003035924,0.008397582,0.00447684,-0.021897252,0.004052655,-0.002759647,0.0086224,0.018724277,-0.000405381,0.000892747,0.005154345,-0.009935656,0.000119519,-0.023917316,-0.006612442,-0.000745433,-0.004867868,-0.002334936,-0.00332184,-0.006448258,-0.00410058,0.008764126,0.002614174,0.003125889,0.007767212,-0.014520003,-0.003149712,0.007941735,0.003949647,-0.007619535,0.024233275
SACI_RS03845,0.006082176,-0.002876516,-0.006975959,0.008376642,0.001952772,0.001891439,0.011440313,-0.004876491,-0.002261357,6.01E-05,0.002026728,-0.012525149,-0.003227369,0.012153237,-0.002886446,-0.013602461,0.007013144,-0.025704261,8.38E-08,-0.011472624,0.001044741,-0.017642186,-0.000938317,-0.001758433,0.007292457,-0.005958599,-0.011328205,-0.002072545,-0.001235517,-0.000448108,-0.003231254,-0.011612013,0.016945588,-0.012047399,-0.006317453,-0.008741674,-0.004753533,-0.010653472,-0.006398298,-0.013910959,-0.007689014,0.000309501,0.009579221,-0.013184778,-0.012588313
SACI_RS03850,0.00347642,0.010688717,-0.019252847,0.016786098,-0.004798363,-0.018336499,-0.003946875,0.028608956,-0.006353648,0.000119873,-0.013888797,-0.015869322,-0.009134421,0.015980436,-0.000191703,0.001646383,0.000183511,0.00390328,0.006472906,0.001238841,0.002307203,-0.014180928,-0.002972139,0.001551128,0.001027602,-0.008169361,-0.001305744,0.006403065,-0.014914547,-0.010371602,0.004027864,0.006883397,0.00288645,-0.006369888,0.001983832,-0.012279039,0.006186692,-0.001764145,0.021132585,0.023332743,0.017879496,0.005177258,-0.00343456,0.003720825,0.014038454
SACI_RS03855,0.010021171,-0.000508321,0.008683166,-0.010015322,-0.005392114,-0.008698529,6.24E-05,-0.003122854,-0.012565409,-0.009765724,0.009939933,-0.010832392,0.004460087,0.005410973,0.00722325,0.014964943,-0.000369548,-0.00329836,-0.011166184,-0.004317501,0.011070078,0.012138739,-0.013482444,-0.009743446,-0.008770032,0.00384607,0.001387895,0.005347972,0.008979968,0.000116833,-0.016226755,-0.005745194,7.66E-05,0.006852307,-0.007984306,0.026976601,-0.008182882,-0.016428317,0.00812489,-0.002080017,0.005811721,-0.011813094,-0.014347079,-0.00032589,-0.004391064
SACI_RS03860,0.002484588,0.003225163,0.012040724,0.000182156,0.001786059,0.007849592,0.004119745,0.011154347,-0.004425702,-0.015330114,0.003736396,0.004183313,-0.002995174,0.004322959,-0.000788165,0.013621662,0.012909351,0.0135338,-0.00711297,-0.003370979,0.006088416,-0.004968853,-0.004737866,-0.000890583,7.12E-05,-0.002171773,0.002111773,3.31E-05,-0.017277302,0.003670057,-0.016525649,-0.004766866,-0.004499055,0.006478328,-0.003660251,0.005259544,-0.01354389,-0.011202675,-0.002025594,0.002141304,-9.76E-05,0.011181143,-0.000785729,0.007220664,0.007642094
SACI_RS03865,0.013631062,-0.006768563,0.003645078,-0.000232584,-0.0005329,0.004279816,-0.002939483,-0.006980032,-0.000862643,0.005272285,0.0129877,-0.014364862,-0.004236602,-0.00094361,0.009421236,0.014228889,0.012434037,-0.006800391,-0.003687285,0.01182408,0.008883113,-0.008807914,-0.012642176,0.009283597,-0.00749861,0.001103201,-0.000270023,-0.000826919,0.004769949,-0.0077457,-0.013104886,0.001144687,0.001023406,-0.012443276,-0.005626453,-0.001135875,-0.011191894,0.008261317,0.004380166,-0.007355158,-0.000744613,-0.014565436,-0.000546626,0.007694557,0.017962866
SACI_RS11590,-0.039363087,-0.007257573,0.006251615,0.026680284,-0.08402573,0.013937662,-0.013480967,0.0160043,-0.008318034,4.89E-05,-0.003657241,0.02258547,0.021278308,0.061930352,-0.009218645,-0.011400515,-0.002360551,-0.068259396,-0.009193855,-0.017977153,-0.018986205,-0.007179821,0.153684739,-0.005835187,-0.005263813,-0.028850572,-0.010073754,0.041008813,-0.01623815,-0.037493899,-0.000349685,0.004321597,-0.027486045,-0.035434551,-0.015895591,-0.039167928,-0.021085719,0.007801886,0.00675071,-0.109445956,0.026886674,-0.006560835,-0.028230926,0.00686877,0.022132492
SACI_RS03875,-0.004777156,-0.004814617,0.021577046,0.014048758,0.006175214,0.024021253,-0.013122461,0.021966316,-0.010716607,0.034944397,-0.010698209,0.00956025,0.011060641,-0.001419431,-0.007806287,-0.014812972,0.003310298,-0.00225535,-0.004472233,-0.034150846,-0.002485912,0.001033754,-0.011461058,-0.001944404,-0.017932629,0.006727758,-0.000737134,-0.010286654,0.004787782,0.007316555,0.004836251,0.001429696,-0.031388454,-0.012497304,0.006120358,-0.00915456,0.02372518,0.007193751,-0.004612131,0.005282429,0.00638443,0.00141785,-0.015646191,-0.003580246,-0.023903776
